scraped_at,source,search_part,vendor,part,qty,mfg,dc,price,comment,uploaded,region,inventory_type,country
2026-05-11 11:33:01,ICSource,ATT303070M68I,Sentry Electronic Products Inc,ATT3030-70M68I,290,AGERE,02+,,,05/11/2026,North America,Broker,
2026-05-11 11:33:01,ICSource,ATT303070M68I,Scientific Devices Inc,ATT3030-70M68I,65,,,,,05/07/2026,North America,Broker,
2026-05-11 11:33:01,ICSource,ATT303070M68I,United Pacific Electronics Inc,ATT3030-70M68I,65,Lucent,22+,,Available,05/06/2026,North America,Broker,
2026-05-11 11:33:01,ICSource,ATT303070M68I,Pinewood Electronics Ltd,ATT3030-70M68I,28,LUCENT,9204,,Our Stock,05/07/2026,Europe,Stock,
2026-05-11 11:33:01,ICSource,ATT303070M68I,A-Z Elektronik GmbH,ATT3030-70M68I,5679,Atmel,,,,05/11/2026,Europe,Broker,
2026-05-11 11:33:01,ICSource,ATT303070M68I,Alle Elektronik GmbH,ATT3030-70M68I,3786,Atmel,,,,05/11/2026,Europe,Broker,
2026-05-11 11:33:01,ICSource,ATT303070M68I,Sentry Electronic Products Inc,ATT3030-70M68I/ATT,346,ATT,99/00+,,,05/11/2026,North America,Broker,
2026-05-11 11:33:25,ICSource,RJE741881310T,Digi-Key Corporation (F),RJE741881310T,0,Amphenol ICC (Commercial Products),,,Jack Modular Connector,05/11/2026,North America,Stock,
2026-05-11 11:33:30,ICSource,ZDU0110RFX,Digi-Key Corporation (F),ZDU0110RFX,0,Zilog,,,"I2C Bridge, I2C to UART UART Interface 16-TSSOP",05/11/2026,North America,Stock,
2026-05-11 11:33:37,ICSource,XC9521610PQG160I,Sentry Electronic Products Inc,XC95216-10PQG160I,4221,Xilinx,,,,05/11/2026,North America,Broker,
2026-05-11 11:33:37,ICSource,XC9521610PQG160I,A-Z Elektronik GmbH,XC95216-10PQG160I,6146,XILINX,,,,05/11/2026,Europe,Broker,
2026-05-11 11:33:37,ICSource,XC9521610PQG160I,Vast Prospect Electronic Components,XC95216-10PQ-G160I,450,,,,,05/10/2026,Europe,Broker,
2026-05-11 11:33:37,ICSource,XC9521610PQG160I,Shinko Device Co Ltd,XC9521610PQG160I,2380,,,,,04/21/2026,SE Asia,Stock,
2026-05-11 11:33:37,ICSource,XC9521610PQG160I,Tokyo Super Device Co Ltd,XC9521610PQG160I,5867,XILINX,0645+,,,05/11/2026,SE Asia,Broker,
2026-05-11 11:33:37,ICSource,XC9521610PQG160I,EMC Electronics Co Ltd,XC9521610PQG160I,1635,,,,,05/11/2026,SE Asia,Broker,
2026-05-11 11:33:37,ICSource,XC9521610PQG160I,VBOM Co Ltd,XC95216-10PQG160I,834,XILINX,18+,,,05/11/2026,SE Asia,Broker,
2026-05-11 11:33:37,ICSource,XC9521610PQG160I,Bouka Co Ltd,XC9521610PQG160I,132,XILINX,0645+,,,05/11/2026,SE Asia,Broker,
2026-05-11 11:33:37,ICSource,XC9521610PQG160I,Eparts Japan Electronic Co Ltd,XC9521610PQG160I,8,XILINX,,,,05/11/2026,SE Asia,Broker,
2026-05-11 11:33:44,ICSource,MT90812AL1,Digi-Key Corporation (F),MT90812AL1,0,Microchip Technology,,,Telecom IC Switch 64-MQFP (14x20),05/11/2026,North America,Stock,
2026-05-11 11:33:44,ICSource,MT90812AL1,Vast Prospect Electronic Components,MT90812AL1,2500,Zarlink,,,,05/10/2026,Europe,Broker,
2026-05-11 11:33:44,ICSource,MT90812AL1,Vast Prospect Electronic Components,MT90812AL1,1000,,,,,05/10/2026,Europe,Broker,
2026-05-11 11:33:49,ICSource,2N6550,Mouser Electronics (F),2N6550,14,InterFET,,,JFETs JFET N-Channel -20V Low Noise,05/11/2026,North America,Stock,
2026-05-11 11:33:49,ICSource,2N6550,New Jersey Semiconductor Products Inc,2N6550,973,NJS,,,,05/11/2026,North America,Stock,
2026-05-11 11:33:49,ICSource,2N6550,New Jersey Semiconductor Products Inc,2N6550,7,CRY,,,,05/11/2026,North America,Stock,
2026-05-11 11:33:49,ICSource,2N6550,New Jersey Semiconductor Products Inc,2N6550,6,UNB,,,,05/11/2026,North America,Stock,
2026-05-11 11:33:49,ICSource,2N6550,Pegasus Components GmbH,2N6550,10,INTERFET,,,,05/07/2026,Europe,Broker,
2026-05-11 11:33:56,ICSource,H11A1X009T,Digi-Key Corporation (F),H11A1-X009T,0,Vishay Semiconductor Opto Division,,,Optoisolator Transistor with Base Output 5300Vrms 1 Channel 6-SMD,05/11/2026,North America,Stock,
2026-05-11 11:33:56,ICSource,H11A1X009T,Semitech Inc,H11A1-X009T,998,VIS,20,,,05/10/2026,North America,Stock,
2026-05-11 11:33:56,ICSource,H11A1X009T,Tesla II Electronics Inc,H11A1-X009T,30000,VIS,,,AVAILABLE XMTT NEED TARGET,05/06/2026,North America,Broker,
